code,tradeStatus,code_name
sh.600251,1,冠农股份
sh.600255,1,*ST梦舟
sh.600257,1,大湖股份
sh.600259,1,广晟有色
sh.600261,1,阳光照明
sh.600265,1,ST景谷
sh.600267,1,海正药业
sh.600269,1,赣粤高速
sh.600272,1,开开实业
sh.600275,1,ST昌鱼
sh.600277,1,亿利洁能
sh.600279,1,重庆港九
sh.600281,1,太化股份
sh.600283,1,钱江水利
sh.600285,1,羚锐制药
sh.600288,1,大恒科技
sh.600290,1,*ST华仪
sh.600292,1,远达环保
sh.600295,1,鄂尔多斯
sh.600298,1,安琪酵母
sh.600300,1,维维股份
sh.600302,1,标准股份
sh.600305,1,恒顺醋业
sh.600307,1,酒钢宏兴
sh.600309,1,万华化学
sh.600311,1,*ST荣华
sh.600313,1,农发种业
sh.600316,1,洪都航空
sh.600318,1,新力金融
sh.600320,1,振华重工
sh.600322,1,天房发展
sh.600325,1,华发股份
sh.600327,1,大东方
sh.600329,1,中新药业
sh.600331,1,宏达股份
sh.600333,1,长春燃气
sh.600336,1,澳柯玛
sh.600338,1,西藏珠峰
sh.600340,1,华夏幸福
sh.600345,1,长江通信
sh.600348,1,阳泉煤业
sh.600351,1,亚宝药业
sh.600353,1,旭光电子
sh.600355,1,精伦电子
sh.600358,1,*ST联合
sh.600360,1,华微电子
sh.600362,1,江西铜业
sh.600365,1,ST通葡
sh.600367,1,红星发展
sh.600369,1,西南证券
sh.600371,1,万向德农
sh.600373,1,中文传媒
sh.600376,1,首开股份
sh.600378,1,昊华科技
sh.600380,1,健康元
sh.600382,1,广东明珠
sh.600385,1,ST金泰
sh.600387,1,海越能源
sh.600389,1,江山股份
sh.600391,1,航发科技
sh.600393,1,粤泰股份
sh.600396,1,金山股份
sh.600398,1,海澜之家
sh.600400,1,红豆股份
sh.600405,1,动力源
sh.600408,1,ST安泰
sh.600410,1,华胜天成
sh.600416,1,*ST湘电
sh.600419,1,天润乳业
sh.600421,1,ST仰帆
sh.600423,1,ST柳化
sh.600426,1,华鲁恒升
sh.600429,1,三元股份
sh.600435,1,北方导航
sh.600438,1,通威股份
sh.600444,1,国机通用
sh.600448,1,华纺股份
sh.600452,1,涪陵电力
sh.600456,1,宝钛股份
sh.600459,1,贵研铂业
sh.600461,1,洪城水业
sh.600463,1,空港股份
sh.600467,1,好当家
sh.600469,1,风神股份
sh.600475,1,华光环能
sh.600477,1,杭萧钢构
sh.600479,1,千金药业
sh.600481,1,双良节能
sh.600483,1,福能股份
sh.600486,1,扬农化工
sh.600488,1,天药股份
sh.600490,1,鹏欣资源
sh.600493,1,凤竹纺织
sh.600496,1,精工钢构
sh.600498,1,烽火通信
sh.600500,1,中化国际
sh.600502,1,安徽建工
sh.600505,1,西昌电力
sh.600507,1,方大特钢
sh.600509,1,天富能源
sh.600511,1,国药股份
sh.600513,1,联环药业
sh.600516,1,方大炭素
sh.600518,1,ST康美
sh.600520,1,文一科技
sh.600522,1,中天科技
sh.600525,1,长园集团
sh.600527,1,江南高纤
sh.600529,1,山东药玻
sh.600531,1,豫光金铅
sh.600533,1,栖霞建设
sh.600536,1,中国软件
sh.600538,1,国发股份
sh.600540,1,新赛股份
sh.600545,1,卓郎智能
sh.600547,0,山东黄金
sh.600549,1,厦门钨业
sh.600551,1,时代出版
sh.600555,1,*ST海创
sh.600557,1,康缘药业
sh.600559,1,老白干酒
sh.600561,1,江西长运
sh.600563,1,法拉电子
sh.600566,1,济川药业
sh.600568,1,*ST中珠
sh.600570,1,恒生电子
sh.600572,1,康恩贝
sh.600575,1,淮河能源
sh.600577,1,精达股份
sh.600579,1,克劳斯
sh.600581,1,八一钢铁
sh.600583,1,海油工程
sh.600585,1,海螺水泥
sh.600587,1,新华医疗
sh.600589,1,广东榕泰
sh.600592,1,龙溪股份
sh.600594,1,益佰制药
sh.600596,1,新安股份
sh.600598,1,北大荒
sh.600600,1,青岛啤酒
sh.600602,1,云赛智联
sh.600604,1,市北高新
sh.600606,1,绿地控股
sh.600609,1,金杯汽车
sh.600611,1,大众交通
sh.600613,1,神奇制药
sh.600615,1,丰华股份
sh.600617,1,国新能源
sh.600619,1,海立股份
sh.600621,1,华鑫股份
sh.600623,1,华谊集团
sh.600626,1,申达股份
sh.600629,1,华建集团
sh.600633,1,浙数文化
sh.600635,1,大众公用
sh.600637,1,东方明珠
sh.600639,1,浦东金桥
sh.600641,1,万业企业
sh.600643,1,爱建集团
sh.600645,1,中源协和
sh.600648,1,外高桥
sh.600650,1,锦江投资
sh.600652,1,ST游久
sh.600654,1,ST中安
sh.600657,1,信达地产
sh.600660,1,福耀玻璃
sh.600662,1,强生控股
sh.600664,1,哈药股份
sh.600666,1,ST瑞德
sh.600668,1,尖峰集团
sh.600673,1,东阳光
sh.600675,1,中华企业
sh.600677,0,*ST航通
sh.600679,1,上海凤凰
sh.600682,1,南京新百
sh.600684,1,珠江实业
sh.600686,1,金龙汽车
sh.600688,1,上海石化
sh.600690,1,海尔智家
sh.600692,1,亚通股份
sh.600694,1,大商股份
sh.600696,1,ST岩石
sh.600698,1,ST天雁
sh.600701,0,*ST工新
sh.600703,1,三安光电
sh.600705,1,中航资本
sh.600707,1,彩虹股份
sh.600710,1,苏美达
sh.600712,1,南宁百货
sh.600714,1,金瑞矿业
sh.600716,1,凤凰股份
sh.600718,1,东软集团
sh.600720,1,祁连山
sh.600722,1,金牛化工
sh.600724,1,宁波富达
sh.600726,1,华电能源
sh.600728,1,佳都科技
sh.600730,1,中国高科
sh.600732,1,爱旭股份
sh.600734,1,*ST实达
sh.600736,1,苏州高新
sh.600738,1,兰州民百
sh.600740,1,山西焦化
sh.600742,1,一汽富维
sh.600744,1,华银电力
sh.600746,1,江苏索普
sh.600749,1,西藏旅游
sh.600751,1,海航科技
sh.600754,1,锦江酒店
sh.600756,1,浪潮软件
sh.600758,1,辽宁能源
sh.600760,1,中航沈飞
sh.600763,1,通策医疗
sh.600765,1,中航重机
sh.600767,1,ST运盛
sh.600769,1,祥龙电业
sh.600771,1,广誉远
sh.600774,1,汉商集团
sh.600776,1,东方通信
sh.600778,1,友好集团
sh.600780,1,通宝能源
sh.600782,1,新钢股份
sh.600784,1,鲁银投资
sh.600787,1,中储股份
sh.600790,1,轻纺城
sh.600792,1,云煤能源
sh.600794,1,保税科技
sh.600796,1,钱江生化
sh.600798,1,宁波海运
sh.600801,1,华新水泥
sh.600803,1,新奥股份
sh.600805,1,悦达投资
sh.600808,1,马钢股份
sh.600810,1,神马股份
sh.600812,1,华北制药
sh.600815,1,*ST厦工
sh.600817,1,ST宏盛
sh.600819,1,耀皮玻璃
sh.600821,1,*ST劝业
sh.600823,1,世茂股份
sh.600825,1,新华传媒
sh.600827,1,百联股份
sh.600829,1,人民同泰
sh.600831,1,广电网络
sh.600834,1,申通地铁
sh.600836,1,*ST界龙
sh.600838,1,上海九百
sh.600841,1,上柴股份
sh.600844,1,丹化科技
sh.600846,1,同济科技
sh.600848,1,上海临港
sh.600851,1,海欣股份
sh.600854,1,春兰股份
sh.600856,1,*ST中天
sh.600858,1,银座股份
sh.600860,1,*ST京城
sh.600862,1,中航高科
sh.600864,1,哈投股份
sh.600866,1,星湖科技
sh.600868,1,梅雁吉祥
sh.600870,1,ST厦华
sh.600872,1,中炬高新
sh.600874,1,创业环保
sh.600876,1,洛阳玻璃
sh.600879,1,航天电子
sh.600881,1,亚泰集团
sh.600883,1,博闻科技
sh.600885,1,宏发股份
sh.600887,1,伊利股份
sh.600889,1,南京化纤
sh.600891,0,*ST秋林
sh.600893,1,航发动力
sh.600895,1,张江高科
sh.600897,1,厦门空港
sh.600900,1,长江电力
sh.600903,1,贵州燃气
sh.600909,1,华安证券
sh.600918,1,中泰证券
sh.600926,1,杭州银行
sh.600929,1,湖南盐业
sh.600936,1,广西广电
sh.600956,1,新天绿能
sh.600959,1,江苏有线
sh.600961,1,株冶集团
sh.600963,1,岳阳林纸
sh.600966,1,博汇纸业
sh.600968,1,海油发展
sh.600970,1,中材国际
sh.600973,1,宝胜股份
sh.600976,1,健民集团
sh.600978,1,*ST宜生
sh.600980,1,北矿科技
sh.600982,1,宁波热电
sh.600984,1,建设机械
sh.600986,1,科达股份
sh.600988,1,赤峰黄金
sh.600990,1,四创电子
sh.600993,1,马应龙
sh.600996,1,贵广网络
sh.600998,1,九州通
sh.601000,1,唐山港
sh.601002,1,晋亿实业
sh.601005,1,重庆钢铁
sh.601007,1,金陵饭店
sh.601009,1,南京银行
