date,close,open,low,high,volume,pctChg,isST
2009-01-05,1.7692228800,1.7456959800,1.7268744600,1.7739282600,1988342,3.581300,0
2009-01-06,1.8303928200,1.7786336400,1.7645175000,1.8492143400,3248259,3.457400,0
2009-01-07,1.8303928200,1.8115713000,1.8021605400,1.8445089600,3247684,0.000000,0
2009-01-08,1.8068659200,1.7974551600,1.7504013600,1.8162766800,3051756,-1.285300,0
2009-01-09,1.8398035800,1.7927497800,1.7927497800,1.8539197200,3133347,1.822900,0
2009-01-12,1.9009735200,1.8398035800,1.8115713000,1.9245004200,5839356,3.324800,0
2009-01-13,1.9621434600,1.8774466200,1.8539197200,1.9856703600,11207603,3.217800,0
2009-01-14,1.9762596000,1.9527327000,1.9009735200,1.9762596000,8682235,0.719400,0
2009-01-15,1.9433219400,1.9480273200,1.9056789000,1.9856703600,8212622,-1.666700,0
2009-01-16,1.9433219400,1.9480273200,1.9339111800,1.9809649800,5914754,0.000000,0
2009-01-19,1.9621434600,1.9527327000,1.9480273200,2.0139026400,4999513,0.968500,0
2009-01-20,1.9574380800,1.9715542200,1.9150896600,1.9715542200,2917051,-0.239800,0
2009-01-21,1.9197950400,1.9197950400,1.9103842800,1.9480273200,2727731,-1.923100,0
2009-01-22,1.9527327000,1.9339111800,1.9197950400,1.9574380800,3096089,1.715700,0
2009-01-23,1.9339111800,1.9621434600,1.9150896600,1.9762596000,3248977,-0.963854,0
2009-02-02,1.9997865000,1.9762596000,1.9715542200,2.0374295400,6108803,3.406300,0
2009-02-03,2.0421349200,2.0044918800,1.9809649800,2.0515456800,7596315,2.117600,0
2009-02-04,2.1221263800,2.0515456800,2.0233134000,2.1268317600,11214448,3.917100,0
2009-02-05,2.1738855600,2.1033048600,2.0797779600,2.2726985400,19041848,2.439000,0
2009-02-06,2.2491716400,2.1880017000,2.1503586600,2.2821093000,19723492,3.463200,0
2009-02-09,2.2632877800,2.2679931600,2.1927070800,2.2962254400,13914319,0.627600,0
2009-02-10,2.2962254400,2.2491716400,2.2162339800,2.3009308200,11997043,1.455300,0
2009-02-11,2.2962254400,2.2821093000,2.2444662600,2.4044491800,13260732,0.000000,0
2009-02-12,2.3715115200,2.2726985400,2.1880017000,2.3715115200,9137673,3.278700,0
2009-02-13,2.3950384200,2.3573953800,2.3244577200,2.4138599400,11580215,0.992100,0
2009-02-16,2.4420922200,2.4232707000,2.3573953800,2.4656191200,10053295,1.964600,0
2009-02-17,2.3103415800,2.4232707000,2.3009308200,2.4326814600,8730624,-5.395000,0
2009-02-18,2.2632877800,2.2774039200,2.2397608800,2.3668061400,7015537,-2.036700,0
2009-02-19,2.3291631000,2.2868146800,2.2726985400,2.3526900000,5708973,2.910600,0
2009-02-20,2.5032621600,2.3244577200,2.3103415800,2.5267890600,13309790,7.474700,0
2009-02-23,2.5409052000,2.4844406400,2.4562083600,2.5738428600,10772622,1.503800,0
2009-02-24,2.3479846200,2.4938514000,2.3432792400,2.5173783000,11149664,-7.592600,0
2009-02-25,2.4326814600,2.3856276600,2.3432792400,2.4703245000,8402736,3.607200,0
2009-02-26,2.2068232200,2.4279760800,2.1880017000,2.4515029800,8273441,-9.284300,0
2009-02-27,2.0515456800,2.1785909400,2.0233134000,2.2256447400,6616543,-7.036246,0
2009-03-02,2.0891887200,2.0280187800,2.0186080200,2.1080102400,3056260,1.834900,0
2009-03-03,2.1033048600,2.0233134000,1.9903757400,2.1315371400,3609259,0.675700,0
2009-03-04,2.2115286000,2.0938941000,2.0938941000,2.2162339800,6922752,5.145414,0
2009-03-05,2.2491716400,2.2350555000,2.1880017000,2.3197523400,8739986,1.702100,0
2009-03-06,2.1974124600,2.2021178400,2.1644748000,2.2350555000,5129690,-2.301300,0
2009-03-09,2.0468403000,2.2021178400,2.0421349200,2.2256447400,5756618,-6.852200,0
2009-03-10,2.1033048600,2.0327241600,2.0233134000,2.1080102400,3396666,2.758600,0
2009-03-11,2.1080102400,2.1456532800,2.0938941000,2.1597694200,4255348,0.223700,0
2009-03-12,2.1033048600,2.0891887200,2.0280187800,2.1174210000,3105073,-0.223200,0
2009-03-13,2.0844833400,2.1174210000,2.0703672000,2.1456532800,3196268,-0.894900,0
2009-03-16,2.1880017000,2.0703672000,2.0421349200,2.2068232200,5699696,4.966100,0
2009-03-17,2.2632877800,2.2115286000,2.1880017000,2.2821093000,11579000,3.440900,0
2009-03-18,2.2538770200,2.2350555000,2.2350555000,2.2962254400,7978139,-0.415800,0
2009-03-19,2.2915200600,2.2538770200,2.2256447400,2.2962254400,7455854,1.670100,0
2009-03-20,2.2774039200,2.3009308200,2.1927070800,2.3009308200,6108565,-0.616000,0
2009-03-23,2.4467976000,2.2585824000,2.2538770200,2.4844406400,10575244,7.438000,0
2009-03-24,2.4138599400,2.4703245000,2.3432792400,2.4703245000,13921000,-1.346200,0
2009-03-25,2.3997438000,2.4138599400,2.3526900000,2.4185653200,8869537,-0.584800,0
2009-03-26,2.4091545600,2.4232707000,2.3338684800,2.4467976000,11935051,0.392200,0
2009-03-27,2.3903330400,2.4091545600,2.3762169000,2.4279760800,8468167,-0.781200,0
2009-03-30,2.3950384200,2.3856276600,2.3715115200,2.4091545600,4818471,0.196900,0
2009-03-31,2.3621007600,2.3526900000,2.2679931600,2.3715115200,6477145,-1.375200,0
2009-04-01,2.3856276600,2.3621007600,2.3573953800,2.4138599400,6622017,0.996000,0
2009-04-02,2.3997438000,2.4091545600,2.3856276600,2.4373868400,7815542,0.591700,0
2009-04-03,2.3809222800,2.4185653200,2.3244577200,2.4420922200,11157387,-0.784300,0
2009-04-07,2.4044491800,2.3809222800,2.3573953800,2.4279760800,5855316,0.988100,0
2009-04-08,2.2962254400,2.4044491800,2.2868146800,2.4185653200,6628314,-4.501000,0
2009-04-09,2.3244577200,2.3009308200,2.2350555000,2.3385738600,4332706,1.229500,0
2009-04-10,2.3903330400,2.3291631000,2.3103415800,2.4091545600,5854956,2.834000,0
2009-04-13,2.4044491800,2.3997438000,2.3762169000,2.4232707000,6751418,0.590600,0
2009-04-14,2.4420922200,2.3997438000,2.3856276600,2.4562083600,7952929,1.565600,0
2009-04-15,2.4703245000,2.4279760800,2.3903330400,2.4703245000,9124491,1.156100,0
2009-04-16,2.5032621600,2.4703245000,2.4656191200,2.5644321000,11379317,1.333300,0
2009-04-17,2.4091545600,2.4750298800,2.3997438000,2.4891460200,7623968,-3.759400,0
2009-04-20,2.5314944400,2.4232707000,2.4185653200,2.5597267200,9786071,5.078100,0
2009-04-21,2.6067805200,2.5032621600,2.4891460200,2.6585397000,17044952,2.974000,0
2009-04-22,2.4279760800,2.5926643800,2.4138599400,2.6350128000,11638294,-6.859200,0
2009-04-23,2.4844406400,2.4420922200,2.4232707000,2.5126729200,8409944,2.325600,0
2009-04-24,2.3856276600,2.4891460200,2.3762169000,2.4938514000,8281210,-3.977300,0
2009-04-27,2.2726985400,2.3668061400,2.2632877800,2.3809222800,5400639,-4.733700,0
2009-04-28,2.3103415800,2.2585824000,2.2444662600,2.3150469600,3298605,1.656300,0
2009-04-29,2.3573953800,2.3009308200,2.3009308200,2.3715115200,4289339,2.036700,0
2009-04-30,2.3856276600,2.3573953800,2.3432792400,2.3903330400,4442363,1.197600,0
2009-05-04,2.4609137400,2.3903330400,2.3809222800,2.4797352600,6210157,3.155800,0
2009-05-05,2.4703245000,2.4750298800,2.4420922200,2.5079675400,6711867,0.382400,0
2009-05-06,2.5409052000,2.4750298800,2.4515029800,2.5879590000,10465840,2.857100,0
2009-05-07,2.5032621600,2.5832536200,2.4467976000,2.5832536200,7883171,-1.481500,0
2009-05-08,2.5832536200,2.4985567800,2.4562083600,2.6585397000,10514963,3.195500,0
2009-05-11,2.4232707000,2.5879590000,2.4185653200,2.5973697600,6896951,-6.193100,0
2009-05-12,2.4232707000,2.4232707000,2.4232707000,2.4232707000,0,0.000000,0
2009-05-13,2.5079675400,2.4797352600,2.4703245000,2.5409052000,6140864,3.495100,0
2009-05-14,2.5361998200,2.4797352600,2.4562083600,2.5409052000,5123767,1.125700,0
2009-05-15,2.6208966600,2.5409052000,2.5267890600,2.6914773600,10996486,3.339500,0
2009-05-18,2.6773612200,2.5973697600,2.5503159600,2.7197096400,11915966,2.154400,0
2009-05-19,2.6726558400,2.6961827400,2.6303074200,2.6961827400,7543204,-0.175700,0
2009-05-20,2.7714688200,2.6491289400,2.6350128000,2.8514602800,18470286,3.697200,0
2009-05-21,2.8326387600,2.7432365400,2.7150042600,2.8938087000,21174416,2.207100,0
2009-05-22,2.7949957200,2.8232280000,2.7620580600,2.8608710400,9539561,-1.328900,0
2009-05-25,2.9126302200,2.7291204000,2.6820666000,2.9267463600,12839673,4.208800,0
2009-05-26,2.8373441400,2.9173356000,2.8232280000,2.9455678800,9947011,-2.584800,0
2009-05-27,2.7667634400,2.8279333800,2.7479419200,2.8655764200,8857366,-2.487600,0
2009-06-01,2.8138172400,2.8232280000,2.7573526800,2.8232280000,6642095,1.700700,0
2009-06-02,2.8467549000,2.8138172400,2.7902903400,2.9126302200,8146926,1.170600,0
2009-06-03,2.7997011000,2.8467549000,2.7291204000,2.8467549000,7461938,-1.652900,0
2009-06-04,2.9173356000,2.7855849600,2.6914773600,2.9314517400,14356537,4.201700,0
2009-06-05,3.0396754800,2.8985140800,2.8702818000,3.0537916200,16869552,4.193500,0
2009-06-08,2.9549786400,2.9596840200,2.9126302200,3.0396754800,10528373,-2.786400,0
2009-06-09,2.8891033200,2.9220409800,2.8232280000,2.9502732600,6599043,-2.229300,0
2009-06-10,2.9314517400,2.8985140800,2.8420495200,2.9502732600,5365595,1.465800,0
2009-06-11,2.8373441400,2.9267463600,2.8279333800,2.9596840200,5516405,-3.210300,0
2009-06-12,2.7432365400,2.8326387600,2.7338257800,2.8655764200,5836411,-3.316700,0
2009-06-15,2.8749871800,2.7479419200,2.7479419200,2.8749871800,4532378,4.802700,0
2009-06-16,2.8985140800,2.8655764200,2.8279333800,2.9126302200,4348660,0.818300,0
2009-06-17,2.9267463600,2.8985140800,2.8608710400,2.9455678800,4916561,0.974000,0
2009-06-18,2.9032194600,2.9785055400,2.8702818000,3.0208539600,12078630,-0.803900,0
2009-06-19,2.8608710400,2.8985140800,2.8420495200,2.9220409800,6022249,-1.458700,0
2009-06-22,2.8561656600,2.8796925600,2.8373441400,2.8891033200,3805564,-0.164500,0
2009-06-23,2.8232280000,2.8561656600,2.7997011000,2.8561656600,3777019,-1.153200,0
2009-06-24,2.8373441400,2.8138172400,2.8044064800,2.8514602800,3479431,0.500000,0
2009-06-25,2.7902903400,2.8326387600,2.7808795800,2.8467549000,3807479,-1.658400,0
2009-06-26,2.7761742000,2.7761742000,2.7761742000,2.8232280000,2839453,-0.505900,0
2009-06-29,2.8561656600,2.7761742000,2.7761742000,2.8938087000,7215244,2.881400,0
2009-06-30,2.8985140800,2.8514602800,2.7997011000,2.9314517400,8478865,1.482700,0
2009-07-01,2.9079248400,2.8938087000,2.8702818000,2.9455678800,6291707,0.324700,0
2009-07-02,2.9220409800,2.8985140800,2.8891033200,2.9502732600,6193659,0.485400,0
2009-07-03,3.2137745400,2.9126302200,2.9032194600,3.2137745400,27938852,9.983900,0
2009-07-06,3.1102561800,3.2937660000,3.0867292800,3.2937660000,16093227,-3.221100,0
2009-07-07,3.0632023800,3.0632023800,3.0020324400,3.0961400400,10538390,-1.512858,0
2009-07-08,3.0584970000,3.0584970000,2.9926216800,3.1102561800,6610489,-0.153600,0
2009-07-09,3.1290777000,3.0679077600,3.0302647200,3.1902476400,9322160,2.307700,0
2009-07-10,3.1573099800,3.1290777000,3.0867292800,3.2561229600,9765519,0.902300,0
2009-07-13,3.1808368800,3.1243723200,3.1149615600,3.2325960600,7957507,0.745200,0
2009-07-14,3.3925789800,3.1714261200,3.1714261200,3.4960973400,16379869,6.656800,0
2009-07-15,3.4349274000,3.3925789800,3.3831682200,3.5572672800,11173668,1.248300,0
2009-07-16,3.7784201400,3.4349274000,3.4066951200,3.7784201400,18017462,10.000000,0
2009-07-17,3.9666353400,3.7831255200,3.7784201400,4.0936806000,18249988,4.981300,0
2009-07-20,3.9572245800,3.9054654000,3.8348847000,4.0560375600,8399756,-0.237200,0
2009-07-21,4.0419214200,3.9431084400,3.9431084400,4.1877882000,10139004,2.140300,0
2009-07-22,3.8960546400,4.0042783800,3.6419641200,4.0748590800,21207619,-3.608800,0
2009-07-23,3.8066524200,3.7878309000,3.7172502000,3.9384030600,11661012,-2.294700,0
2009-07-24,3.7078394400,3.8113578000,3.6137318400,3.8960546400,12519150,-2.595800,0
2009-07-27,3.7219555800,3.6749017800,3.6749017800,3.7737147600,7090057,0.380700,0
2009-07-28,3.8819385000,3.7266609600,3.7266609600,4.0230999000,14697972,4.298400,0
2009-07-29,3.5337403800,3.8160631800,3.4960973400,3.8819385000,9445116,-8.969700,0
2009-07-30,3.6560802600,3.5431511400,3.4631596800,3.6937233000,5191768,3.462100,0
2009-07-31,3.8019470400,3.6419641200,3.6043210800,3.9525192000,8448123,3.989700,0
2009-08-03,3.9901622400,3.8019470400,3.7125448200,4.0278052800,10721471,4.950500,0
2009-08-04,4.1266182600,3.9948676200,3.9525192000,4.1407344000,12289318,3.419800,0
2009-08-05,4.2583689000,4.1125021200,3.9995730000,4.2724850400,13090014,3.192700,0
2009-08-06,4.0372160400,4.1877882000,3.9948676200,4.1924935800,8116955,-5.193400,0
2009-08-07,3.8866438800,4.0278052800,3.8160631800,4.1407344000,5577166,-3.729600,0
2009-08-10,4.1172075000,3.9619299600,3.9007600200,4.1266182600,8995105,5.932200,0
2009-08-11,4.0513321800,4.1313236400,4.0278052800,4.2913065600,8081475,-1.600000,0
2009-08-12,3.9195815400,3.9619299600,3.7643040000,4.0795644600,4577657,-3.252000,0
2009-08-13,4.0278052800,3.9525192000,3.9101707800,4.0466268000,3533637,2.761100,0
2009-08-14,3.9666353400,3.9995730000,3.9054654000,4.0466268000,4931326,-1.518700,0
2009-08-17,3.7501878600,3.9478138200,3.5713834200,3.9525192000,10437708,-5.456700,0
2009-08-18,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-08-19,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-08-20,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-08-21,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-08-24,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-08-25,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-08-26,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-08-27,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-08-28,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-08-31,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-09-01,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-09-02,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-09-03,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-09-04,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-09-07,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-09-08,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-09-09,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-09-10,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-09-11,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-09-14,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-09-15,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-09-16,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-09-17,3.7501878600,3.7501878600,3.7501878600,3.7501878600,0,0.000000,0
2009-09-18,4.1266182600,4.1266182600,4.1266182600,4.1266182600,2342301,10.037600,0
2009-09-21,4.5406917000,4.5406917000,4.5406917000,4.5406917000,242957,10.034200,0
2009-09-22,4.9971135600,4.9971135600,4.9971135600,4.9971135600,647249,10.051800,0
2009-09-23,5.4958838400,5.4958838400,5.4958838400,5.4958838400,822802,9.981200,0
2009-09-24,6.0464133000,6.0464133000,6.0464133000,6.0464133000,978011,10.017100,0
2009-09-25,6.6534073200,6.6534073200,6.6298804200,6.6534073200,54101670,10.038900,0
2009-09-28,6.6581127000,7.1192399400,6.4793082600,7.1192399400,38070781,0.070700,0
2009-09-29,5.9946541200,6.6345858000,5.9946541200,6.6392911800,25443410,-9.964700,0
2009-09-30,6.5922373800,5.9523057000,5.8817250000,6.5922373800,39131167,9.968600,0
2009-10-09,6.8228010000,6.7286934000,6.6581127000,7.0486592400,31613069,3.497500,0
2009-10-12,6.9921946800,6.7286934000,6.6816396000,7.5050811000,25813677,2.482800,0
2009-10-13,7.0863022800,6.9216139800,6.7381041600,7.2227583000,17710492,1.345900,0
2009-10-14,7.2227583000,7.1051238000,7.0110162000,7.3168659000,20010669,1.925600,0
2009-10-15,6.9921946800,7.2133475400,6.8039794800,7.3403928000,17603359,-3.192200,0
2009-10-16,7.2886336200,6.8839709400,6.8322117600,7.3309820400,13107406,4.239600,0
2009-10-19,7.5897779400,7.2839282400,7.2227583000,7.9991460000,23837575,4.131700,0
2009-10-20,7.4486165400,7.5333133800,7.3874466000,7.6415371200,13970481,-1.859900,0
2009-10-21,7.3498035600,7.3827412200,7.2651067200,7.4580273000,8865742,-1.326600,0
2009-10-22,7.3403928000,7.3121605200,7.2462852000,7.6133048400,9425138,-0.128000,0
2009-10-23,7.1380614600,7.2933390000,7.0957130400,7.3686250800,10484485,-2.756400,0
2009-10-26,7.1615883600,7.1474722200,7.0345431000,7.2792228600,7061108,0.329600,0
2009-10-27,7.2933390000,7.1286507000,7.0580700000,7.4721434400,12442209,1.839700,0
2009-10-28,7.3403928000,7.2368744400,7.1051238000,7.4627326800,7315491,0.645164,0
2009-10-29,7.4345004000,7.1709991200,7.0863022800,7.5944833200,10090227,1.282100,0
2009-10-30,8.1308966400,7.5333133800,7.4062681200,8.1779504400,25491091,9.367100,0
2009-11-02,8.1261912600,7.9050384000,7.6744747800,8.2202988600,16424205,-0.057900,0
2009-11-03,8.2344150000,7.9050384000,7.7921092800,8.5261485600,21764256,1.331800,0
2009-11-04,8.2438257600,8.1544235400,8.1073697400,8.5120324200,10252381,0.114300,0
2009-11-05,8.4461571000,8.2438257600,8.2438257600,8.6673099600,11088142,2.454300,0
